From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Ontology (biological process)	Gene Ontology IDs	Keywords	Gene Ontology (cellular component)	Gene Ontology (molecular function)
Q6R327	Q6R327	reviewed	RICTR_HUMAN	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	RICTOR KIAA1999	Homo sapiens (Human)	actin cytoskeleton organization [GO:0030036]; cellular response to nutrient levels [GO:0031669]; cytoskeleton organization [GO:0007010]; embryo development ending in birth or egg hatching [GO:0009792]; negative regulation of apoptotic process [GO:0043066]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell growth [GO:0030307]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of TOR signaling [GO:0032008]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of establishment of cell polarity [GO:2000114]; regulation of gene expression [GO:0010468]; regulation of inflammatory response [GO:0050727]; regulation of peptidyl-serine phosphorylation [GO:0033135]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; TORC2 signaling [GO:0038203]	GO:0001938; GO:0005794; GO:0005829; GO:0007010; GO:0009792; GO:0010468; GO:0018105; GO:0019901; GO:0030036; GO:0030307; GO:0030838; GO:0031669; GO:0031932; GO:0032008; GO:0032956; GO:0033135; GO:0038203; GO:0043022; GO:0043066; GO:0043539; GO:0050727; GO:0050731; GO:0051896; GO:0051897; GO:0060090; GO:2000114	3D-structure;Alternative splicing;Developmental protein;Host-virus interaction;Isopeptide bond;Phosphoprotein;Reference proteome;Ubl conjugation	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; TORC2 complex [GO:0031932]	molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; ribosome binding [GO:0043022]
Q5SV85	Q5SV85	reviewed	SYNRG_MOUSE	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)	Synrg Ap1gbp1 Syng	Mus musculus (Mouse)	endocytosis [GO:0006897]; protein transport [GO:0015031]	GO:0005829; GO:0006897; GO:0015031; GO:0030130; GO:0048471	Acetylation;Alternative splicing;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Endocytosis;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Reference proteome;Repeat;Transport	clathrin coat of trans-Golgi network vesicle [GO:0030130]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]	
Q9UR07	Q9UR07	reviewed	TF211_SCHPO	Transposon Tf2-11 polyprotein (Retrotransposable element Tf2 155 kDa protein)	Tf2-11 SPBC1289.17 SPBC8E4.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0006508; GO:0015074; GO:0046872	Aspartyl protease;DNA integration;DNA recombination;DNA-binding;DNA-directed DNA polymerase;Endonuclease;Hydrolase;Magnesium;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotidyltransferase;Protease;Reference proteome;RNA-binding;RNA-directed DNA polymerase;Transferase;Transposable element	nucleus [GO:0005634]	aspartic-type endopeptidase activity [GO:0004190]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]
F1Q4S1	F1Q4S1	reviewed	ATP9B_DANRE	Probable phospholipid-transporting ATPase IIB (EC 7.6.2.1) (ATPase class II type 9B)	atp9b	Danio rerio (Zebrafish) (Brachydanio rerio)	endocytosis [GO:0006897]; phospholipid translocation [GO:0045332]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0000287; GO:0005524; GO:0005768; GO:0005802; GO:0005886; GO:0006890; GO:0006897; GO:0016887; GO:0045332; GO:0140326	ATP-binding;Golgi apparatus;Lipid transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	endosome [GO:0005768]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]
Q5REW9	Q5REW9	reviewed	ANR27_PONAB	Ankyrin repeat domain-containing protein 27	ANKRD27	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein transport [GO:0015031]	GO:0005764; GO:0005769; GO:0005770; GO:0005886; GO:0015031; GO:0030659; GO:0042470	ANK repeat;Cell membrane;Cytoplasmic vesicle;Endosome;Lysosome;Membrane;Phosphoprotein;Protein transport;Reference proteome;Repeat;Transport	cytoplasmic vesicle membrane [GO:0030659]; early endosome [GO:0005769]; late endosome [GO:0005770]; lysosome [GO:0005764]; melanosome [GO:0042470]; plasma membrane [GO:0005886]	
Q6AY56	Q6AY56	reviewed	TBA8_RAT	Tubulin alpha-8 chain (EC 3.6.5.-) (Alpha-tubulin 8) [Cleaved into: Dephenylalaninated tubulin alpha-8 chain]	Tuba8	Rattus norvegicus (Rat)	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]	GO:0000226; GO:0000278; GO:0001669; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007283; GO:0007286; GO:0016787; GO:0046872	Cytoplasm;Cytoskeleton;GTP-binding;Hydrolase;Magnesium;Metal-binding;Microtubule;Nucleotide-binding;Reference proteome	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]
B0W730	B0W730	reviewed	SMG8_CULQU	Nonsense-mediated mRNA decay factor SMG8 (Protein smg-8 homolog)	CPIJ003128	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]	GO:0000184	Nonsense-mediated mRNA decay;Reference proteome		
Q5VTE6	Q5VTE6	reviewed	ANGE2_HUMAN	Protein angel homolog 2	ANGEL2 KIAA0759L	Homo sapiens (Human)	3'-UTR-mediated mRNA stabilization [GO:0070935]; negative regulation of mitotic cell cycle [GO:0045930]	GO:0000175; GO:0003730; GO:0005737; GO:0015030; GO:0045930; GO:0070935	3D-structure;Alternative splicing;Reference proteome	Cajal body [GO:0015030]; cytoplasm [GO:0005737]	3'-5'-RNA exonuclease activity [GO:0000175]; mRNA 3'-UTR binding [GO:0003730]
D3ZVM4	D3ZVM4	reviewed	LIN41_RAT	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	Trim71 Lin41	Rattus norvegicus (Rat)	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to organic substance [GO:0071310]; fibroblast growth factor receptor signaling pathway [GO:0008543]; G1/S transition of mitotic cell cycle [GO:0000082]; miRNA metabolic process [GO:0010586]; miRNA processing [GO:0035196]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; neural tube closure [GO:0001843]; neural tube development [GO:0021915]; positive regulation of miRNA-mediated gene silencing [GO:2000637]; post-transcriptional regulation of gene expression [GO:0010608]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of neural precursor cell proliferation [GO:2000177]; regulation of protein metabolic process [GO:0051246]; stem cell proliferation [GO:0072089]	GO:0000082; GO:0000209; GO:0000932; GO:0001843; GO:0004842; GO:0008270; GO:0008543; GO:0010586; GO:0010608; GO:0017148; GO:0021915; GO:0030371; GO:0035196; GO:0035198; GO:0035278; GO:0043161; GO:0051246; GO:0051865; GO:0060964; GO:0061158; GO:0061630; GO:0071310; GO:0072089; GO:2000177; GO:2000637	Acetylation;Coiled coil;Cytoplasm;Developmental protein;Metal-binding;Reference proteome;Repeat;RNA-binding;RNA-mediated gene silencing;Transferase;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger	P-body [GO:0000932]	miRNA binding [GO:0035198]; translation repressor activity [GO:0030371]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
B5DI68	B5DI68	reviewed	U518_DROPS	FHIP family protein GA25918	GA25918	Drosophila pseudoobscura pseudoobscura (Fruit fly)			Phosphoprotein;Reference proteome		
P48444	P48444	reviewed	COPD_HUMAN	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer maturation [GO:0021691]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi localization [GO:0051645]; intracellular protein transport [GO:0006886]; pigmentation [GO:0043473]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0000139; GO:0003723; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006890; GO:0008344; GO:0016020; GO:0021691; GO:0030126; GO:0030133; GO:0043473; GO:0051645	Acetylation;Alternative splicing;Cytoplasm;Cytoplasmic vesicle;Dwarfism;ER-Golgi transport;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Reference proteome;Transport	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; transport vesicle [GO:0030133]	RNA binding [GO:0003723]
A1ZA92	A1ZA92	reviewed	NOL9_DROME	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9 homolog)	CG8414	Drosophila melanogaster (Fruit fly)	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; phosphorylation [GO:0016310]; rRNA processing [GO:0006364]	GO:0000448; GO:0005524; GO:0005634; GO:0005730; GO:0006364; GO:0016310; GO:0046404; GO:0051731	ATP-binding;Kinase;Nucleotide-binding;Nucleus;Reference proteome;rRNA processing;Transferase	nucleolus [GO:0005730]; nucleus [GO:0005634]	ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]
P04323	P04323	reviewed	POL3_DROME	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	pol	Drosophila melanogaster (Fruit fly)	DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575	Aspartyl protease;Endonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Protease;RNA-directed DNA polymerase;Transferase;Transposable element	DNA polymerase complex [GO:0042575]	aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]
P32836	P32836	reviewed	GSP2_YEAST	GTP-binding nuclear protein GSP2/CNR2	GSP2 CNR2 YOR185C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	nucleus organization [GO:0006997]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; ribosomal subunit export from nucleus [GO:0000054]	GO:0000054; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0006606; GO:0006997; GO:0016973	Acetylation;GTP-binding;Nucleotide-binding;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Transport	cytoplasm [GO:0005737]; nucleus [GO:0005634]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q9W3M3	Q9W3M3	reviewed	UBR3_DROME	E3 ubiquitin-protein ligase Ubr3 (EC 2.3.2.27) (E3 ubiquitin-protein transferase Ubr3)	Ubr3 CG42593	Drosophila melanogaster (Fruit fly)	negative regulation of apoptotic process [GO:0043066]; positive regulation of smoothened signaling pathway [GO:0045880]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; sensory perception of sound [GO:0007605]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	GO:0000151; GO:0005634; GO:0005737; GO:0005829; GO:0007605; GO:0008270; GO:0016567; GO:0043025; GO:0043066; GO:0045880; GO:0051865; GO:0061630; GO:0070936; GO:0071596	Alternative splicing;Cytoplasm;Metal-binding;Nucleus;Reference proteome;Transferase;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger	cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
Q5TH69	Q5TH69	reviewed	BIG3_HUMAN	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3)	ARFGEF3 BIG3 C6orf92 KIAA1244	Homo sapiens (Human)	regulation of ARF protein signal transduction [GO:0032012]	GO:0005085; GO:0005794; GO:0030658; GO:0032012	Cytoplasm;Cytoplasmic vesicle;Guanine-nucleotide releasing factor;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix	Golgi apparatus [GO:0005794]; transport vesicle membrane [GO:0030658]	guanyl-nucleotide exchange factor activity [GO:0005085]
