"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"1300"	"PGA_scaffold0__40_contigs__length_4818635"	2933188	2933188	"+"	2.30646642982671e-11	9.64287600741796e-10	26.2028735857182
"1349"	"PGA_scaffold0__40_contigs__length_4818635"	3016284	3016284	"+"	1.19507496051462e-34	1.64195775579869e-31	32.8100044967515
"1375"	"PGA_scaffold0__40_contigs__length_4818635"	3119317	3119317	"+"	1.675869596434e-26	7.64024409238951e-24	30.5422685294814
"1501"	"PGA_scaffold0__40_contigs__length_4818635"	3231348	3231348	"+"	2.7713788999957e-09	7.28221402362898e-08	26.0693165656112
"1518"	"PGA_scaffold0__40_contigs__length_4818635"	3232008	3232008	"+"	8.84421277052037e-26	3.80708833332266e-23	-28.7595287595288
"1684"	"PGA_scaffold0__40_contigs__length_4818635"	3299645	3299645	"+"	2.15704029958035e-06	2.65161836571203e-05	25.1914939204028
"1784"	"PGA_scaffold0__40_contigs__length_4818635"	3400337	3400337	"+"	1.04167304174103e-06	1.40426212292334e-05	-26.7303379475679
"1850"	"PGA_scaffold0__40_contigs__length_4818635"	3416873	3416873	"+"	1.1020919767024e-20	2.29806578538478e-18	32.3663545850015
"1857"	"PGA_scaffold0__40_contigs__length_4818635"	3417020	3417020	"+"	2.18925528456608e-14	1.66345925624025e-12	25.2631578947368
"1999"	"PGA_scaffold0__40_contigs__length_4818635"	3478357	3478357	"+"	6.73307871625772e-18	9.34039165201029e-16	-42.7938432835821
"2091"	"PGA_scaffold0__40_contigs__length_4818635"	3527141	3527141	"+"	6.06879076394971e-26	2.66966648810761e-23	-38.2847166654543
"2095"	"PGA_scaffold0__40_contigs__length_4818635"	3557004	3557004	"+"	2.44876500805579e-42	7.67514916915544e-39	50.7881539090598
"2097"	"PGA_scaffold0__40_contigs__length_4818635"	3557019	3557019	"+"	8.99797612591434e-18	1.22286402038853e-15	31.3812070282659
"2236"	"PGA_scaffold0__40_contigs__length_4818635"	3605065	3605065	"+"	2.27728919200681e-23	7.0713992014722e-21	35.5188853259173
"2265"	"PGA_scaffold0__40_contigs__length_4818635"	3980920	3980920	"+"	1.13440769633278e-26	5.34169704533487e-24	-34.7707548247117
"2273"	"PGA_scaffold0__40_contigs__length_4818635"	4045266	4045266	"+"	6.29180261255768e-14	4.40063785756043e-12	-26.4160525174955
"2298"	"PGA_scaffold0__40_contigs__length_4818635"	4154868	4154868	"+"	6.68312317562363e-17	7.90026728480849e-15	27.4976133651551
"2307"	"PGA_scaffold0__40_contigs__length_4818635"	4171860	4171860	"+"	5.72194469723034e-19	9.37738887573459e-17	30.6819459751243
"2476"	"PGA_scaffold0__40_contigs__length_4818635"	4644464	4644464	"+"	3.05579952923095e-31	2.83785888934956e-28	-35.5264805308627
"2511"	"PGA_scaffold0__40_contigs__length_4818635"	4648962	4648962	"+"	1.26708541477493e-19	2.27751573117176e-17	28.8182360663564
"2605"	"PGA_scaffold0__40_contigs__length_4818635"	4746911	4746911	"+"	1.08397636484076e-10	3.9023695418048e-09	-31.8559176672384
"2606"	"PGA_scaffold0__40_contigs__length_4818635"	4746913	4746913	"+"	1.98672431028589e-14	1.52458523998192e-12	-37.5720260223048
"2669"	"PGA_scaffold0__40_contigs__length_4818635"	4771478	4771478	"+"	1.10588433343481e-15	1.05965486747651e-13	29.8761511590981
"2768"	"PGA_scaffold10__58_contigs__length_8083807"	645038	645038	"+"	1.89931361475668e-13	1.21180804719269e-11	31.3135938135938
"2841"	"PGA_scaffold10__58_contigs__length_8083807"	770455	770455	"+"	5.70164108714208e-18	8.04303515907815e-16	34.1244948428735
"2926"	"PGA_scaffold10__58_contigs__length_8083807"	1119040	1119040	"+"	8.10630557507032e-09	1.90675751767778e-07	30.173850916885
"2949"	"PGA_scaffold10__58_contigs__length_8083807"	1120332	1120332	"+"	2.33711094096165e-27	1.26024817383268e-24	37.5112410071942
"2999"	"PGA_scaffold10__58_contigs__length_8083807"	1129907	1129907	"+"	1.76332246737931e-20	3.55848422463309e-18	25.0733395749993
"3018"	"PGA_scaffold10__58_contigs__length_8083807"	1130296	1130296	"+"	6.05728471105995e-18	8.49692212661454e-16	-28.8353385480609
"3060"	"PGA_scaffold10__58_contigs__length_8083807"	1348270	1348270	"+"	8.76400906849081e-34	1.11266754247618e-30	37.5634517766497
"3102"	"PGA_scaffold10__58_contigs__length_8083807"	1403748	1403748	"+"	8.93205787139085e-29	5.8938303765734e-26	-34.2437686537065
"3194"	"PGA_scaffold10__58_contigs__length_8083807"	1869700	1869700	"+"	4.50836788560571e-28	2.75718045966693e-25	33.4747151126807
"3659"	"PGA_scaffold10__58_contigs__length_8083807"	2573350	2573350	"+"	8.28955455500699e-17	9.58962863343143e-15	30.7414220150069
"3660"	"PGA_scaffold10__58_contigs__length_8083807"	2573361	2573361	"+"	6.32571339428731e-18	8.83638763440986e-16	31.8829734810462
"3760"	"PGA_scaffold10__58_contigs__length_8083807"	2898085	2898085	"+"	1.42663064983972e-09	4.00481113322794e-08	-27.5035848867843
"3888"	"PGA_scaffold10__58_contigs__length_8083807"	2970856	2970856	"+"	1.92429006924454e-22	5.10585445941683e-20	-31.1996779388084
"4162"	"PGA_scaffold10__58_contigs__length_8083807"	3808981	3808981	"+"	2.42267133639511e-08	5.0650860748184e-07	30.1363636363636
"4235"	"PGA_scaffold10__58_contigs__length_8083807"	3896949	3896949	"+"	1.70967516692134e-27	9.57966374271252e-25	-34.517889211217
"4237"	"PGA_scaffold10__58_contigs__length_8083807"	3896973	3896973	"+"	2.42806348803152e-20	4.73790787344064e-18	-30.4964875962942
"4278"	"PGA_scaffold10__58_contigs__length_8083807"	4115710	4115710	"+"	5.30371518152905e-18	7.56684017748282e-16	33.5156745492435
"4511"	"PGA_scaffold10__58_contigs__length_8083807"	4590130	4590130	"+"	5.33022389835813e-20	1.00301617253179e-17	26.3661300203657
"4529"	"PGA_scaffold10__58_contigs__length_8083807"	4590843	4590843	"+"	5.50269837538683e-12	2.65445844459289e-10	-25.5789603350579
"4703"	"PGA_scaffold10__58_contigs__length_8083807"	4974598	4974598	"+"	2.7526264615158e-11	1.13287356743109e-09	26.2716049382716
"5063"	"PGA_scaffold10__58_contigs__length_8083807"	7070536	7070536	"+"	9.2512445379301e-24	3.01258380291349e-21	-33.6289400620611
"5083"	"PGA_scaffold10__58_contigs__length_8083807"	7072995	7072995	"+"	4.7469094920903e-40	1.16122609578392e-36	35.2154195011338
"5084"	"PGA_scaffold10__58_contigs__length_8083807"	7073004	7073004	"+"	5.15238850105563e-33	5.80641787936525e-30	41.1093146147172
"5110"	"PGA_scaffold10__58_contigs__length_8083807"	7079364	7079364	"+"	3.74811580058363e-15	3.2185469592582e-13	27.0321876704855
"5158"	"PGA_scaffold10__58_contigs__length_8083807"	7085613	7085613	"+"	1.35836789278213e-25	5.70045076894898e-23	29.6797764882871
"5203"	"PGA_scaffold10__58_contigs__length_8083807"	7202152	7202152	"+"	2.80787138254817e-10	9.26693683938536e-09	28.1665171515229
"5208"	"PGA_scaffold10__58_contigs__length_8083807"	7202234	7202234	"+"	5.48149947074531e-27	2.77666751093233e-24	43.4523351542664
"5209"	"PGA_scaffold10__58_contigs__length_8083807"	7202246	7202246	"+"	1.17780375135495e-11	5.23628806427085e-10	32.806525054707
"5242"	"PGA_scaffold10__58_contigs__length_8083807"	7356515	7356515	"+"	5.69152408737163e-08	1.07747280293847e-06	-26.6116941529235
"5278"	"PGA_scaffold10__58_contigs__length_8083807"	7368375	7368375	"+"	3.93841267725754e-25	1.58005027027499e-22	34.4220707150785
"5329"	"PGA_scaffold10__58_contigs__length_8083807"	7388825	7388825	"+"	3.93016918364608e-20	7.50830031541514e-18	31.5836188489994
"5330"	"PGA_scaffold10__58_contigs__length_8083807"	7388838	7388838	"+"	3.08400214131962e-13	1.90349174664249e-11	26.0698408389045
"5375"	"PGA_scaffold10__58_contigs__length_8083807"	7628442	7628442	"+"	5.77813947495226e-28	3.51231751224905e-25	36.5744979551975
"5401"	"PGA_scaffold10__58_contigs__length_8083807"	7633849	7633849	"+"	1.73765114237703e-29	1.29097702746858e-26	41.6691605566362
"5563"	"PGA_scaffold10__58_contigs__length_8083807"	7920763	7920763	"+"	1.4025608690527e-14	1.09986875820671e-12	-27.9759645793801
"5587"	"PGA_scaffold10__58_contigs__length_8083807"	8021823	8021823	"+"	9.80005674430424e-12	4.42956399685609e-10	-30.3571428571429
"5791"	"PGA_scaffold11__78_contigs__length_11409253"	1306035	1306035	"+"	6.74998046422099e-10	2.05402159552429e-08	26.9009216589862
"5858"	"PGA_scaffold11__78_contigs__length_11409253"	1555799	1555799	"+"	9.14872967039588e-26	3.90465462216223e-23	34.5059276366436
"6011"	"PGA_scaffold11__78_contigs__length_11409253"	2265836	2265836	"+"	1.53597732910988e-13	9.95184359009266e-12	25.8958770544413
"6442"	"PGA_scaffold11__78_contigs__length_11409253"	3665636	3665636	"+"	5.97689630551469e-10	1.83491638708847e-08	25.6258856872933
"6597"	"PGA_scaffold11__78_contigs__length_11409253"	4190183	4190183	"+"	7.97586184755099e-11	2.95623887026705e-09	33.8345864661654
"6649"	"PGA_scaffold11__78_contigs__length_11409253"	4419190	4419190	"+"	1.39275154146773e-13	9.11810470512301e-12	29.0863946392246
"6655"	"PGA_scaffold11__78_contigs__length_11409253"	4420586	4420586	"+"	7.64401443965685e-17	8.9356037849061e-15	-26.7363543294359
"6695"	"PGA_scaffold11__78_contigs__length_11409253"	4526659	4526659	"+"	2.02112847493845e-10	6.85539192656297e-09	29.040404040404
"6874"	"PGA_scaffold11__78_contigs__length_11409253"	5781502	5781502	"+"	1.28682465481602e-17	1.69606794746185e-15	33.7281580918828
"6921"	"PGA_scaffold11__78_contigs__length_11409253"	5788718	5788718	"+"	2.19897473471727e-20	4.34503357988524e-18	34.8006644518272
"7051"	"PGA_scaffold11__78_contigs__length_11409253"	6030583	6030583	"+"	4.63669053671974e-15	3.91784350608e-13	-27.8957342305759
"7071"	"PGA_scaffold11__78_contigs__length_11409253"	6031493	6031493	"+"	8.54825851801451e-21	1.80879354097706e-18	28.2667949334616
"7330"	"PGA_scaffold11__78_contigs__length_11409253"	6326047	6326047	"+"	3.94477430359136e-08	7.77921003097729e-07	27.4458874458874
"7499"	"PGA_scaffold11__78_contigs__length_11409253"	6833228	6833228	"+"	9.12406267413755e-10	2.69311300917581e-08	25.2115384615385
"7607"	"PGA_scaffold11__78_contigs__length_11409253"	6932517	6932517	"+"	2.65617098799284e-11	1.09632532832558e-09	25.1300356960734
"7635"	"PGA_scaffold11__78_contigs__length_11409253"	6972368	6972368	"+"	6.42056424097448e-13	3.73530119399296e-11	35.6301593143698
"7758"	"PGA_scaffold11__78_contigs__length_11409253"	7577025	7577025	"+"	1.96329206264883e-16	2.14035975279139e-14	-27.2793925111286
"8065"	"PGA_scaffold11__78_contigs__length_11409253"	9048299	9048299	"+"	1.10534974473099e-11	4.94485771423913e-10	30.7923605604018
"8166"	"PGA_scaffold11__78_contigs__length_11409253"	9979325	9979325	"+"	7.0861786264957e-23	2.02485846382938e-20	27.715327261873
"8189"	"PGA_scaffold11__78_contigs__length_11409253"	9989972	9989972	"+"	2.43343526542489e-32	2.56912884234197e-29	-28.8090546515801
"8198"	"PGA_scaffold11__78_contigs__length_11409253"	9990077	9990077	"+"	7.58925930225395e-11	2.82442674065142e-09	32.4711723254324
"8213"	"PGA_scaffold11__78_contigs__length_11409253"	9998810	9998810	"+"	5.37165388801511e-41	1.38144343684989e-37	-43.5739634584478
"8237"	"PGA_scaffold11__78_contigs__length_11409253"	10004132	10004132	"+"	8.71311096390047e-15	7.09336372398699e-13	31.6722307228636
"8246"	"PGA_scaffold11__78_contigs__length_11409253"	10027910	10027910	"+"	5.2660100083035e-06	5.72538898085231e-05	-25.1097251097251
"8269"	"PGA_scaffold11__78_contigs__length_11409253"	10063500	10063500	"+"	4.71676914435642e-19	7.83244537478188e-17	-25.7024592816309
"8394"	"PGA_scaffold11__78_contigs__length_11409253"	10112853	10112853	"+"	1.04209034813776e-35	1.58362055596633e-32	-30.2475316009013
"8555"	"PGA_scaffold11__78_contigs__length_11409253"	10220289	10220289	"+"	1.01596283383123e-08	2.32751107434455e-07	-26.0315888148004
"8571"	"PGA_scaffold11__78_contigs__length_11409253"	10225361	10225361	"+"	7.86666827878709e-20	1.45573137787701e-17	-27.2675341161536
"8606"	"PGA_scaffold11__78_contigs__length_11409253"	10240212	10240212	"+"	2.42157683049248e-23	7.49623054885139e-21	-31.5522389523282
"8652"	"PGA_scaffold11__78_contigs__length_11409253"	10412953	10412953	"+"	5.2166386254879e-26	2.31511199979353e-23	-35.7343117233741
"8690"	"PGA_scaffold11__78_contigs__length_11409253"	10416596	10416596	"+"	3.12449596541003e-17	3.91723542831676e-15	-26.461196855325
"8861"	"PGA_scaffold11__78_contigs__length_11409253"	10552290	10552290	"+"	3.51389771304419e-10	1.13762046056115e-08	25.2031316123572
"9450"	"PGA_scaffold12__214_contigs__length_38711105"	605903	605903	"+"	1.56136460873613e-14	1.21584485261486e-12	-25.6131229470205
"9664"	"PGA_scaffold12__214_contigs__length_38711105"	784366	784366	"+"	1.03565564757612e-11	4.65174979541728e-10	27.2497861420017
"9813"	"PGA_scaffold12__214_contigs__length_38711105"	902376	902376	"+"	4.42735155870577e-16	4.52191311723446e-14	26.9323844264836
"10245"	"PGA_scaffold12__214_contigs__length_38711105"	5765040	5765040	"+"	1.16693864256833e-07	2.0411739889089e-06	25.7259849490925
"10435"	"PGA_scaffold12__214_contigs__length_38711105"	9151385	9151385	"+"	1.86522024655384e-14	1.43573866993824e-12	-26.389644012945
"10490"	"PGA_scaffold12__214_contigs__length_38711105"	9167052	9167052	"+"	1.4823773951203e-12	8.00207774697213e-11	-26.5846967767219
"10773"	"PGA_scaffold12__214_contigs__length_38711105"	10153113	10153113	"+"	5.98781494541858e-06	6.41352301259948e-05	26.8292682926829
"10869"	"PGA_scaffold12__214_contigs__length_38711105"	10227293	10227293	"+"	9.48220500011712e-13	5.3012293539057e-11	-33.1107173685884
"10870"	"PGA_scaffold12__214_contigs__length_38711105"	10227298	10227298	"+"	3.18020121578195e-10	1.03661334504084e-08	-29.4704225352113
"11112"	"PGA_scaffold12__214_contigs__length_38711105"	11288629	11288629	"+"	6.89842387267884e-08	1.27915327491225e-06	26.0766260766261
"11192"	"PGA_scaffold12__214_contigs__length_38711105"	11603996	11603996	"+"	7.1904256499933e-16	7.14748292011755e-14	30.5750977107761
"11290"	"PGA_scaffold12__214_contigs__length_38711105"	12691313	12691313	"+"	3.92512676875316e-26	1.74968900193529e-23	31.7622321222828
"11533"	"PGA_scaffold12__214_contigs__length_38711105"	13306802	13306802	"+"	5.8559560794918e-07	8.45819690304792e-06	28.7435145499662
"11610"	"PGA_scaffold12__214_contigs__length_38711105"	13694349	13694349	"+"	2.28317527504811e-09	6.1114639193104e-08	27.0553244163257
"11766"	"PGA_scaffold12__214_contigs__length_38711105"	13761698	13761698	"+"	6.49999431438482e-09	1.56865388837869e-07	-29.9393672834658
"12108"	"PGA_scaffold12__214_contigs__length_38711105"	15094418	15094418	"+"	1.02902854161064e-11	4.62405427450848e-10	26.7032967032967
"12124"	"PGA_scaffold12__214_contigs__length_38711105"	15096686	15096686	"+"	4.68409614535269e-23	1.37772047992533e-20	-30.2050747306222
"12695"	"PGA_scaffold12__214_contigs__length_38711105"	16670468	16670468	"+"	4.49568019696753e-23	1.33010340162742e-20	28.9418715683934
"12795"	"PGA_scaffold12__214_contigs__length_38711105"	18471314	18471314	"+"	1.01239063684202e-10	3.6696838724274e-09	29.4463298139769
"12917"	"PGA_scaffold12__214_contigs__length_38711105"	18504633	18504633	"+"	1.20781328301194e-06	1.60132897358381e-05	25.6072874493927
"13104"	"PGA_scaffold12__214_contigs__length_38711105"	18543120	18543120	"+"	7.50878668663553e-14	5.1795860533885e-12	-25.7200389642488
"13242"	"PGA_scaffold12__214_contigs__length_38711105"	19518536	19518536	"+"	3.21330082678291e-15	2.79035265218363e-13	-34.1589681795867
"13803"	"PGA_scaffold12__214_contigs__length_38711105"	23838965	23838965	"+"	2.77013567543805e-21	6.20172805995864e-19	34.1549295774648
"14695"	"PGA_scaffold12__214_contigs__length_38711105"	33285337	33285337	"+"	1.09455872803802e-19	1.98161370021624e-17	27.218600018111
"14775"	"PGA_scaffold12__214_contigs__length_38711105"	34030404	34030404	"+"	8.7735341003409e-26	3.792942648811e-23	-30.1230915094648
"14790"	"PGA_scaffold12__214_contigs__length_38711105"	34041420	34041420	"+"	2.94467028097614e-07	4.63864904879587e-06	27.185689090451
"15235"	"PGA_scaffold12__214_contigs__length_38711105"	35046591	35046591	"+"	2.78483957779146e-11	1.14394902231409e-09	-30.6745543335848
"15277"	"PGA_scaffold12__214_contigs__length_38711105"	37159842	37159842	"+"	7.59954975399339e-08	1.39625409818909e-06	25.224358974359
"15344"	"PGA_scaffold12__214_contigs__length_38711105"	38574940	38574940	"+"	3.21072640595736e-13	1.97441767996014e-11	-27.5673381255133
"15563"	"PGA_scaffold13__56_contigs__length_10281103"	1656709	1656709	"+"	6.26329212261474e-30	4.90774953628882e-27	40.7612994350282
"15678"	"PGA_scaffold13__56_contigs__length_10281103"	1695935	1695935	"+"	3.62261424901774e-10	1.17017328507651e-08	26.163367318602
"15905"	"PGA_scaffold13__56_contigs__length_10281103"	3543999	3543999	"+"	8.01056204704055e-17	9.30830837385189e-15	26.4880371711216
"15920"	"PGA_scaffold13__56_contigs__length_10281103"	4162496	4162496	"+"	4.317040578901e-16	4.41824452245768e-14	-30.1297983982325
"15924"	"PGA_scaffold13__56_contigs__length_10281103"	4162585	4162585	"+"	6.01621980930934e-23	1.7439630896248e-20	32.7229202860491
"15932"	"PGA_scaffold13__56_contigs__length_10281103"	4180054	4180054	"+"	4.90752445776449e-14	3.49086498850049e-12	30.2092050209205
"16095"	"PGA_scaffold13__56_contigs__length_10281103"	4779501	4779501	"+"	1.69830246969162e-09	4.69502009331521e-08	33.08082780164
"16143"	"PGA_scaffold13__56_contigs__length_10281103"	4878091	4878091	"+"	5.38610337189427e-11	2.07773917728562e-09	26.5553102641168
"16245"	"PGA_scaffold13__56_contigs__length_10281103"	4973348	4973348	"+"	2.86637424416045e-19	4.88098294902491e-17	28.1451659956824
"16266"	"PGA_scaffold13__56_contigs__length_10281103"	4974587	4974587	"+"	4.70064419728769e-11	1.83877695126967e-09	27.8640565186269
"16404"	"PGA_scaffold13__56_contigs__length_10281103"	6570358	6570358	"+"	3.67740040762114e-12	1.84232624626135e-10	25.1765844218674
"16588"	"PGA_scaffold13__56_contigs__length_10281103"	6763422	6763422	"+"	9.44480076767474e-14	6.41360188677447e-12	-26.4083758503401
"16615"	"PGA_scaffold13__56_contigs__length_10281103"	6766110	6766110	"+"	2.20833654854651e-25	9.11031292916179e-23	-30.038628977865
"16823"	"PGA_scaffold13__56_contigs__length_10281103"	6861934	6861934	"+"	1.19267651896021e-16	1.35626257042692e-14	27.9455957538149
"16872"	"PGA_scaffold13__56_contigs__length_10281103"	6924006	6924006	"+"	8.01968845790422e-30	6.14010636290521e-27	-29.0220211420117
"16990"	"PGA_scaffold13__56_contigs__length_10281103"	7047192	7047192	"+"	3.30857610085261e-12	1.66922330978691e-10	28.5543353984419
"16993"	"PGA_scaffold13__56_contigs__length_10281103"	7047535	7047535	"+"	5.38635494951779e-21	1.15998814201391e-18	-32.6360637713029
"17035"	"PGA_scaffold13__56_contigs__length_10281103"	7053417	7053417	"+"	2.6997262190522e-16	2.87447485552813e-14	25.8174481370454
"17118"	"PGA_scaffold13__56_contigs__length_10281103"	8243902	8243902	"+"	5.13442452732361e-07	7.5269979941519e-06	25.1245609736176
"17321"	"PGA_scaffold14__49_contigs__length_6382615"	467467	467467	"+"	2.66786293372738e-24	9.4551140137269e-22	-33.2703121970138
"17466"	"PGA_scaffold14__49_contigs__length_6382615"	510957	510957	"+"	2.34324752806669e-19	4.05909575283562e-17	34.309685562609
"17601"	"PGA_scaffold14__49_contigs__length_6382615"	849459	849459	"+"	3.83790599104707e-12	1.91794722398173e-10	29.9799622819425
"17680"	"PGA_scaffold14__49_contigs__length_6382615"	878677	878677	"+"	2.56350138194805e-28	1.62729451812264e-25	25.829345385797
"17693"	"PGA_scaffold14__49_contigs__length_6382615"	881364	881364	"+"	9.29357273390023e-16	9.04094296286004e-14	30.2424009234321
"17698"	"PGA_scaffold14__49_contigs__length_6382615"	881490	881490	"+"	1.37809106803888e-18	2.16644132688977e-16	41.8579500308996
"17699"	"PGA_scaffold14__49_contigs__length_6382615"	881495	881495	"+"	9.3718763636828e-23	2.61104130629168e-20	42.8099210222735
"17720"	"PGA_scaffold14__49_contigs__length_6382615"	887337	887337	"+"	5.52972756159443e-20	1.03860921250673e-17	33.2386363636364
"17866"	"PGA_scaffold14__49_contigs__length_6382615"	982238	982238	"+"	6.02704621013024e-13	3.53094093988094e-11	-28.9819004524887
"17928"	"PGA_scaffold14__49_contigs__length_6382615"	1034169	1034169	"+"	7.06999169751348e-06	7.40189784809822e-05	26.021742121921
"18060"	"PGA_scaffold14__49_contigs__length_6382615"	1043135	1043135	"+"	3.00403124296689e-10	9.83022953754801e-09	-26.2344612154498
"18094"	"PGA_scaffold14__49_contigs__length_6382615"	1047427	1047427	"+"	1.70367261195949e-12	9.07455869964266e-11	27.2864558754129
"18188"	"PGA_scaffold14__49_contigs__length_6382615"	1174410	1174410	"+"	2.1302933007258e-22	5.59326931694923e-20	29.422917056854
"18191"	"PGA_scaffold14__49_contigs__length_6382615"	1174692	1174692	"+"	2.08899012475912e-10	7.0759975204113e-09	-25.2568604499935
"18234"	"PGA_scaffold14__49_contigs__length_6382615"	1247738	1247738	"+"	7.31726014595602e-25	2.83359921748145e-22	-25.5551935121828
"18278"	"PGA_scaffold14__49_contigs__length_6382615"	1269106	1269106	"+"	3.85412399981618e-14	2.79507326125365e-12	27.0560085076214
"18337"	"PGA_scaffold14__49_contigs__length_6382615"	1314050	1314050	"+"	1.3350101246163e-12	7.26128253073053e-11	34.703947368421
"18362"	"PGA_scaffold14__49_contigs__length_6382615"	1317943	1317943	"+"	7.09281098168088e-10	2.14726993302704e-08	25.6750803569972
"18417"	"PGA_scaffold14__49_contigs__length_6382615"	1358514	1358514	"+"	6.83412102050097e-10	2.07647560513239e-08	30.7738095238095
"18560"	"PGA_scaffold14__49_contigs__length_6382615"	1390426	1390426	"+"	1.91049025298997e-10	6.5175922727683e-09	-29.9434489769983
"18575"	"PGA_scaffold14__49_contigs__length_6382615"	1508861	1508861	"+"	6.11988512038649e-12	2.92497861557834e-10	-29.3405338840643
"18581"	"PGA_scaffold14__49_contigs__length_6382615"	1511023	1511023	"+"	7.49032338851167e-24	2.47124997135145e-21	-32.7049853061873
"18995"	"PGA_scaffold14__49_contigs__length_6382615"	2474253	2474253	"+"	1.24035434157667e-11	5.49246448346068e-10	25.6422933472114
"19113"	"PGA_scaffold14__49_contigs__length_6382615"	2511399	2511399	"+"	8.19082339658141e-21	1.74420026248518e-18	-29.210004422948
"19194"	"PGA_scaffold14__49_contigs__length_6382615"	2898048	2898048	"+"	7.2158553278205e-08	1.33210299523562e-06	27.3603437691835
"19243"	"PGA_scaffold14__49_contigs__length_6382615"	2900552	2900552	"+"	9.55468364166404e-25	3.62996199123566e-22	-37.3026364103694
"19353"	"PGA_scaffold14__49_contigs__length_6382615"	2982975	2982975	"+"	5.73352490913002e-18	8.0766525897013e-16	-28.0987910465627
"19354"	"PGA_scaffold14__49_contigs__length_6382615"	2982978	2982978	"+"	2.93131589100743e-29	2.11513218913977e-26	-39.0249652420963
"19359"	"PGA_scaffold14__49_contigs__length_6382615"	2983038	2983038	"+"	1.28917126900587e-22	3.51360140339026e-20	31.8825080093251
"19369"	"PGA_scaffold14__49_contigs__length_6382615"	2983390	2983390	"+"	1.09972180233213e-13	7.37294397998305e-12	-25.010395010395
"19426"	"PGA_scaffold14__49_contigs__length_6382615"	3006596	3006596	"+"	3.41693188116341e-23	1.02915734974049e-20	-26.3150589868147
"19460"	"PGA_scaffold14__49_contigs__length_6382615"	3011125	3011125	"+"	6.22046172625722e-34	8.10254757241932e-31	-35.3566958698373
"19705"	"PGA_scaffold14__49_contigs__length_6382615"	3325260	3325260	"+"	7.00702678846418e-22	1.6813076481448e-19	-32.9814152342727
"19754"	"PGA_scaffold14__49_contigs__length_6382615"	3332638	3332638	"+"	3.93397858555743e-08	7.75944620810127e-07	25.5153276955603
"19759"	"PGA_scaffold14__49_contigs__length_6382615"	3333582	3333582	"+"	1.48592347329213e-13	9.6712697582025e-12	28.2110111982775
"20020"	"PGA_scaffold14__49_contigs__length_6382615"	4038771	4038771	"+"	3.28310204411322e-16	3.42293775700934e-14	31.8058300395257
"20070"	"PGA_scaffold14__49_contigs__length_6382615"	4042747	4042747	"+"	8.42237033787787e-33	9.08324602963493e-30	33.4155796532034
"20276"	"PGA_scaffold14__49_contigs__length_6382615"	4084571	4084571	"+"	3.2201882577611e-20	6.21108697643901e-18	-29.3036099137931
"20278"	"PGA_scaffold14__49_contigs__length_6382615"	4084578	4084578	"+"	6.67024645035748e-23	1.92243794046142e-20	-31.3475435719925
"20289"	"PGA_scaffold14__49_contigs__length_6382615"	4124068	4124068	"+"	9.44524513178227e-23	2.62419270704438e-20	42.5595238095238
